Country_Name,Country Code,Indicator_Name,Area,Indicator Code,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
Arab World,ARB,Capital expenditure as % of total expenditure in primary public institutions (%),Sub-continent,UIS.XSPENDP.1.FDPUB.FNCAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"Cumulative drop-out rate to the last grade of primary education, female (%)",Sub-continent,SE.PRM.DROP.FE.ZS,,43.76285934,44.6907692,45.03612137,43.96268082,42.61869812,42.14215851,40.31412125,40.77080917,39.53495026,39.38925171,38.0805397,37.5722084,36.86302948,36.65576172,35.9708786,35.48389053,35.74195862,33.67227173,32.8240509,30.86895943,30.50901985,29.32792091,28.68856049,27.10500908,25.54567909,24.3343792,23.12770081,19.94326973,18.69685936,18.69035912,19.42955971,19.03436089,19.77927971,20.9978199,21.21298981,19.80130005,19.26394081,18.52783012,16.99658966,16.33182907,16.19780922,15.88134003,16.30151939,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"Cumulative drop-out rate to the last grade of primary education, male (%)",Sub-continent,SE.PRM.DROP.MA.ZS,,36.19942093,36.93040085,37.10268021,35.37099075,33.12607956,32.92824936,29.89532089,27.30590057,29.06212997,29.89080048,28.99939919,29.10170937,28.78994942,28.98209953,28.72418022,28.09527016,29.23846054,27.73988914,26.73077011,25.36528969,25.52112961,24.5988903,24.36553955,22.99480057,21.68757057,20.99648094,20.31109047,18.91674042,18.12771988,18.0375309,18.29129982,18.23092079,17.99926949,19.80581093,19.88040924,18.73443985,18.01515007,17.46883965,15.79644012,14.86155033,15.06785965,14.78034973,15.15256023,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,EAS,Capital expenditure as % of total expenditure in primary public institutions (%),Sub-continent,UIS.XSPENDP.1.FDPUB.FNCAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,EAS,"Cumulative drop-out rate to the last grade of primary education, female (%)",Sub-continent,SE.PRM.DROP.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,19.28745079,23.17521095,23.0632,20.42725945,17.33505058,15.04234982,12.56608009,9.92827034,12.56727028,15.21607018,17.77729034,19.93448067,16.40819931,12.71317959,9.979660034,9.421059608,9.753430367,12.29078007,16.55183983,20.45223045,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,EAS,"Cumulative drop-out rate to the last grade of primary education, male (%)",Sub-continent,SE.PRM.DROP.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,18.3135891,22.57653046,22.48605919,19.6592598,16.86680031,14.50035,11.74792957,9.222270012,11.6285696,14.2219696,16.77046013,19.6745491,16.88055992,14.03267002,11.57812977,11.35770035,11.4406004,14.24094963,18.67934036,23.11503029,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,EAP,Capital expenditure as % of total expenditure in primary public institutions (%),Sub-continent (excluding high income),UIS.XSPENDP.1.FDPUB.FNCAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,EAP,"Cumulative drop-out rate to the last grade of primary education, female (%)",Sub-continent (excluding high income),SE.PRM.DROP.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,19.96689034,24.11525917,24.01317024,21.2697506,18.18709946,15.67226982,13.10762978,10.33568001,13.18138981,16.05602074,18.83472061,21.20273972,17.32204056,13.35674,10.39194012,9.805049896,10.13621044,12.82983971,17.39587975,21.5829792,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,EAP,"Cumulative drop-out rate to the last grade of primary education, male (%)",Sub-continent (excluding high income),SE.PRM.DROP.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,19.05060959,23.60634041,23.52806091,20.56656075,17.6800499,15.18657017,12.26216984,9.55107975,12.13840961,14.92593956,17.68310928,20.82585907,17.77144051,14.70514011,12.07876015,11.8515501,11.91425037,14.87672043,19.62903023,24.38775063,,,,,,,,,,,,,,,,,,,,,
